City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
General Roca,AR,2021-06-06 23:05:52,-39.0333,-67.5833,52.5,48,100,8.01,overcast clouds
George Town,MY,2021-06-06 23:12:52,5.4112,100.3354,80.53,90,20,1.01,few clouds
Geraldton,AU,2021-06-06 23:14:32,-28.7667,114.6,55.81,82,94,17.67,overcast clouds
Gimli,CA,2021-06-06 23:05:54,50.6336,-96.9907,80.06,50,41,18.66,scattered clouds
Ginir,ET,2021-06-06 23:05:54,7.1333,40.7,55.98,87,58,6.33,broken clouds
Gizo Government Station,SB,2021-06-06 23:14:33,-8.103,156.8419,83.01,74,33,5.06,scattered clouds
Gold Coast,AU,2021-06-06 23:05:54,-28.0,153.4333,65.03,75,0,1.99,clear sky
Gorontalo,ID,2021-06-06 23:05:55,0.5412,123.0595,76.42,93,100,1.7,overcast clouds
Gouré,NE,2021-06-06 23:05:55,13.9835,10.2704,86.72,34,59,11.72,broken clouds
Grand Gaube,MU,2021-06-06 23:05:56,-20.0064,57.6608,71.38,85,12,1.99,light rain
Grants,US,2021-06-06 23:05:56,35.1473,-107.8514,91.63,7,1,18.41,clear sky
Gravdal,NO,2021-06-06 23:14:34,68.1214,13.5031,53.08,74,87,6.13,overcast clouds
Greenville,US,2021-06-06 23:05:56,35.6127,-77.3663,86.16,67,40,8.05,scattered clouds
Grindavik,IS,2021-06-06 23:14:35,63.8424,-22.4338,48.67,93,75,15.55,broken clouds
Guaduas,CO,2021-06-06 23:05:57,5.0669,-74.595,78.67,94,88,2.04,overcast clouds
Guane,CU,2021-06-06 23:05:57,22.2025,-84.0875,83.34,72,72,7.67,broken clouds
Guarapari,BR,2021-06-06 23:03:18,-20.6667,-40.4975,72.9,87,100,9.93,overcast clouds
Gubkinskiy,RU,2021-06-06 23:05:58,64.434,76.5026,37.58,64,10,10.4,clear sky
Guerrero Negro,MX,2021-06-06 23:14:35,27.9769,-114.0611,69.49,60,69,17.0,broken clouds
Guiong,PH,2021-06-06 23:05:59,6.4186,122.0258,80.73,80,92,0.92,overcast clouds
Haimen,CN,2021-06-06 23:14:36,23.1935,116.6142,78.69,77,94,18.16,overcast clouds
Half Moon Bay,US,2021-06-06 23:14:36,37.4636,-122.4286,83.57,61,1,10.36,haze
Hambantota,LK,2021-06-06 23:14:37,6.1241,81.1185,79.45,85,100,13.85,overcast clouds
Kumul,CN,2021-06-06 23:05:59,42.8,93.45,64.26,17,32,12.95,scattered clouds
Hamilton,US,2021-06-06 23:14:37,39.1834,-84.5333,83.59,61,20,8.55,few clouds
Hammerfest,NO,2021-06-06 23:06:00,70.6634,23.6821,39.65,81,0,5.75,clear sky
Hanmer Springs,NZ,2021-06-06 23:06:00,-42.5167,172.8167,47.34,99,100,1.63,overcast clouds
Harper,LR,2021-06-06 23:06:01,4.375,-7.7169,78.06,88,100,11.83,light rain
Hasaki,JP,2021-06-06 23:14:31,35.7333,140.8333,71.19,83,100,1.12,overcast clouds
Havelock,US,2021-06-06 23:14:38,34.8791,-76.9013,83.05,83,69,3.0,broken clouds
Havøysund,NO,2021-06-06 23:14:38,70.9963,24.6622,40.08,67,2,8.93,clear sky
Hay River,CA,2021-06-06 23:10:54,60.8156,-115.7999,49.64,52,52,7.76,broken clouds
Hemsedal,NO,2021-06-06 23:06:02,60.8629,8.5534,54.32,75,39,6.02,scattered clouds
Hengyang,CN,2021-06-06 23:06:02,26.8881,112.615,72.77,80,30,2.59,scattered clouds
Henties Bay,NA,2021-06-06 23:14:39,-22.116,14.2845,68.56,44,0,3.36,clear sky
Hermanus,ZA,2021-06-06 23:11:12,-34.4187,19.2345,66.9,44,1,11.43,clear sky
Hervey Bay,AU,2021-06-06 23:13:55,-25.2986,152.8535,68.04,77,1,4.0,clear sky
High Rock,BS,2021-06-06 23:06:03,26.6208,-78.2833,82.42,78,87,16.42,overcast clouds
Hilo,US,2021-06-06 23:12:53,19.7297,-155.09,84.27,72,40,11.5,light rain
Hithadhoo,MV,2021-06-06 23:11:19,-0.6,73.0833,82.74,73,11,12.35,few clouds
Hobart,AU,2021-06-06 23:10:12,-42.8794,147.3294,58.26,74,75,1.99,broken clouds
Hobyo,SO,2021-06-06 23:14:40,5.3505,48.5268,78.37,89,25,23.31,scattered clouds
Hofn,IS,2021-06-06 23:12:08,64.2539,-15.2082,46.99,98,95,12.75,moderate rain
Hokitika,NZ,2021-06-06 23:06:04,-42.7167,170.9667,53.74,84,100,7.9,overcast clouds
Honningsvåg,NO,2021-06-06 23:14:40,70.9821,25.9704,40.23,71,2,6.76,clear sky
Houma,US,2021-06-06 23:06:04,29.5958,-90.7195,80.6,84,75,6.91,broken clouds
Khovd,MN,2021-06-06 23:06:04,48.0056,91.6419,46.08,45,3,3.4,clear sky
Hrebinka,UA,2021-06-06 23:06:05,50.1171,32.4361,53.83,95,93,7.27,overcast clouds
Hriňová,SK,2021-06-06 23:06:05,48.5779,19.5257,57.2,84,48,2.93,scattered clouds
Hualmay,PE,2021-06-06 23:06:06,-11.0964,-77.6139,64.92,83,31,10.69,scattered clouds
Huánuco,PE,2021-06-06 23:01:57,-9.9329,-76.2415,64.27,89,85,6.08,overcast clouds
Huilong,CN,2021-06-06 23:06:06,31.8111,121.655,75.04,65,20,10.33,moderate rain
Husavik,IS,2021-06-06 23:14:41,66.0449,-17.3389,47.25,82,72,3.38,broken clouds
Iberia,US,2021-06-06 23:01:58,29.9502,-91.7507,87.98,83,75,10.83,broken clouds
Ibrā’,OM,2021-06-06 23:06:07,22.6906,58.5334,78.69,81,0,2.53,clear sky
Igaci,BR,2021-06-06 23:06:07,-9.5369,-36.6336,68.74,95,1,3.49,clear sky
Igarka,RU,2021-06-06 23:14:42,67.4667,86.5833,32.88,89,99,6.93,overcast clouds
Ilhabela,BR,2021-06-06 23:14:42,-23.7781,-45.3581,69.53,91,34,6.55,scattered clouds
Illapel,CL,2021-06-06 23:06:08,-31.6308,-71.1653,57.51,78,100,0.96,overcast clouds
Ingham,US,2021-06-06 23:14:43,42.6,-84.3833,87.42,48,40,6.91,scattered clouds
Inuvik,CA,2021-06-06 23:06:08,68.3499,-133.7218,51.17,35,4,10.11,clear sky
Inverell,AU,2021-06-06 23:06:08,-29.7833,151.1167,55.67,55,2,3.0,clear sky
Ipameri,BR,2021-06-06 23:06:09,-17.7219,-48.1597,71.98,44,100,2.91,overcast clouds
Iqaluit,CA,2021-06-06 23:12:34,63.7506,-68.5145,33.53,93,75,5.01,light snow
Isangel,VU,2021-06-06 23:11:06,-19.55,169.2667,77.11,69,75,10.76,broken clouds
Isetskoye,RU,2021-06-06 23:06:09,56.4858,65.3226,54.43,64,16,7.11,few clouds
İskilip,TR,2021-06-06 23:06:10,40.7353,34.4739,52.05,83,5,5.91,clear sky
Itarema,BR,2021-06-06 23:06:10,-2.9248,-39.9167,77.4,86,26,8.16,scattered clouds
Itoman,JP,2021-06-06 23:14:44,26.1247,127.6694,75.97,92,75,13.8,broken clouds
Ivanava,BY,2021-06-06 23:06:10,52.1451,25.5365,54.7,93,30,7.67,scattered clouds
Iwanai,JP,2021-06-06 23:06:11,42.9744,140.5089,62.65,70,100,5.08,overcast clouds
Jacareacanga,BR,2021-06-06 23:04:29,-6.2222,-57.7528,78.8,72,99,1.05,overcast clouds
Jacqueville,CI,2021-06-06 23:06:11,5.2052,-4.4146,80.51,81,39,13.18,scattered clouds
Jaisalmer,IN,2021-06-06 23:14:07,26.9147,70.9181,86.04,56,0,17.67,clear sky
Jalu,LY,2021-06-06 23:14:45,29.0331,21.5482,74.97,31,0,9.04,clear sky
Jamestown,US,2021-06-06 23:14:45,42.097,-79.2353,83.52,47,1,6.91,clear sky
Jaqué,PA,2021-06-06 23:06:12,7.5175,-78.1703,80.76,84,100,1.86,light rain
Jatiroto,ID,2021-06-06 23:14:12,-7.8833,111.1167,72.32,96,32,2.17,scattered clouds
Jauja,PE,2021-06-06 23:06:12,-11.7758,-75.4966,52.45,71,76,3.89,broken clouds
